ID_T_EQUIP_LOG,SITE,SYS_ID,TRACK_ID,STATUS,RMK,CYCLE_COUNT,ACTION,CYCLE_TIME,REG_DTM
31415E6F0D37A6B2E0655EED8C8868D6,KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:23:06 AM
31415E6E488CA6B8E0655EED8C8868D6,KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:23:44 AM
31415E6F0D3EA6B2E0655EED8C8868D6,KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:23:49 AM
31415E6D2BAEA6B6E0655EED8C8868D6,KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 11:24:09 AM
31415E6F0D44A6B2E0655EED8C8868D6,KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:24:10 AM
31415E6F4929A6B4E0655EED8C8868D6,KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:24:30 AM
31415E6F492CA6B4E0655EED8C8868D6,KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:24:36 AM
31415E401829A6BAE0655EED8C8868D6,KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:25:12 AM
31415E6F4933A6B4E0655EED8C8868D6,KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:25:17 AM
31415E6F4936A6B4E0655EED8C8868D6,KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,1,IN,01:25,3/26/2025 11:25:35 AM
31415E40182BA6BAE0655EED8C8868D6,KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:25:36 AM
31415E6F0D50A6B2E0655EED8C8868D6,KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:25:54 AM
31415E40182CA6BAE0655EED8C8868D6,KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:25:58 AM
31415E6F4945A6B4E0655EED8C8868D6,KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:26:36 AM
31415E6F4947A6B4E0655EED8C8868D6,KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:26:41 AM
31415E6E48A7A6B8E0655EED8C8868D6,KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,2,OUT,01:25,3/26/2025 11:27:01 AM
31415E6F4948A6B4E0655EED8C8868D6,KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:27:02 AM
31415E6E48AAA6B8E0655EED8C8868D6,KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:27:21 AM
31415E6F494EA6B4E0655EED8C8868D6,KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:27:28 AM
31415E40183BA6BAE0655EED8C8868D6,KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:28:03 AM
